id,nft_rank,rarity score,img_url,is_one_of_one,gender,head,clothes,hands,feet,background,trait_count
5823,8,242.34,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5823,No,Female,Rainbow Hair,Wrestling Gear,White Gloves,Long Socks,Alley,4
4500,9,236.79,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4500,No,Female,Rainbow Hair,Wrestling Gear,White Gloves,Long Boots,Ring,4
6270,10,230.78,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6270,No,Female,Rainbow Hair,Fishnets,Bandages,Long Socks,Alley,4
1311,11,228.15,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1311,No,Male,Short Hair,Champion Belt,Wrestler,Socks,Gym,4
6199,12,227.09,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6199,No,Female,Rainbow Hair,Wrestling Gear,Weights,Black Boots,Ring,4
3501,13,223.4,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3501,No,Female,Rainbow Hair,Jacket,Wrestling Gloves,Pink Long Boots,Alley,4
2514,14,222.07,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2514,No,Male,Hat,Wrestling Trunks,Wrestler,White Boots,UFC Ring,4
4916,15,220.01,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4916,No,Female,Rainbow Hair,Black Pants,Bat,None,Alley,3
4780,16,218.86,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4780,No,Female,Rainbow Hair,Jacket,White Gloves,Pink Long Boots,Ring,4
3984,17,218.24,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3984,No,Female,Rainbow Hair,Jacket,White Gloves,Shoes,Beach,4
4126,18,218.2,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4126,No,Female,Rainbow Hair,Fishnets,Weights,Long Boots,Ring,4
5667,19,218.14,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5667,No,Female,Rainbow Hair,Jacket,None,Pink Long Boots,UFC Ring,3
4354,20,216.1,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4354,No,Female,Rainbow Hair,Black Pants,None,Pink Long Boots,Alley,3
5123,21,215.96,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5123,No,Female,Rainbow Hair,Wrestling Uniform,White Gloves,Pink Long Boots,Ring,4
3469,22,215.8,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3469,No,Female,Rainbow Hair,Fishnets,White Gloves,None,UFC Ring,3
6038,23,214.63,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6038,No,Female,Rainbow Hair,Wrestling Uniform,Wrestling Gloves,Long Boots,Beach,4
4959,24,214.45,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4959,No,Female,Rainbow Hair,Jacket,None,Pink Long Boots,Ring,3
4641,25,214.01,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4641,No,Female,Rainbow Hair,Jacket,Weights,Shoes,UFC Ring,4
4933,26,213.55,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4933,No,Female,Rainbow Hair,Fishnets,None,None,Ring,2
5480,27,210.82,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5480,No,Female,Rainbow Hair,Black Pants,Wrestling Gloves,Long Socks,Ring,4
4876,28,210.71,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4876,No,Female,Rainbow Hair,Fishnets,None,Black Boots,Alley,3
4236,29,208.3,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4236,No,Female,Rainbow Hair,Jacket,Bandages,None,Ring,3
5000,30,207.6,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5000,No,Female,Rainbow Hair,Jacket,Bandages,Black Boots,Ring,4
6450,31,207.25,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6450,No,Female,Rainbow Hair,Jacket,Wrestling Gloves,None,Alley,3
6176,32,205.8,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6176,No,Female,Rainbow Hair,Black Pants,None,None,Alley,2
4307,33,204.95,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4307,No,Female,Rainbow Hair,Black Pants,Weights,Black Boots,Beach,4
4457,34,204.76,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4457,No,Female,Rainbow Hair,Wrestling Uniform,None,Long Socks,Ring,3
4557,35,204.33,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4557,No,Female,Rainbow Hair,Black Pants,White Gloves,None,UFC Ring,3
5961,36,203.77,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5961,No,Female,Rainbow Hair,Black Pants,None,Long Boots,Ring,3
4886,37,203.43,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4886,No,Female,Rainbow Hair,Jacket,Weights,None,Gym,3
5106,38,202.08,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5106,No,Female,Rainbow Hair,Black Pants,None,None,Ring,2
5898,39,202.08,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5898,No,Female,Rainbow Hair,Black Pants,None,None,Ring,2
4205,40,200.52,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4205,No,Female,Rainbow Hair,Wrestling Uniform,Weights,None,Gym,3
2611,41,199.42,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2611,No,Male,None,Champion Belt,Chair,Black Boots,Dojo,3
6289,42,198.41,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6289,No,Female,Rainbow Hair,Wrestling Uniform,None,Black Boots,Alley,3
5653,43,197.6,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5653,No,Female,Rainbow Hair,Jacket,None,Black Boots,Ring,3
5547,44,194.69,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5547,No,Female,Rainbow Hair,Wrestling Uniform,None,Black Boots,Ring,3
353,45,192.36,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/353,No,Male,Short Hair,Champion Belt,Tattoo,Bandages,Gym,4
2275,46,187.04,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2275,No,Male,Long Hair,Champion Belt,Tattoo,White Boots,Dojo,4
359,47,184.66,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/359,No,Male,Cap,Champion Belt,Tattoo,Socks,UFC Ring,4
5918,48,183.34,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5918,No,Female,Double Buns,Champion Belt,None,Pink Long Boots,Ring,3
1685,49,182.68,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1685,No,Male,Hat,Tank Top,Chair,White Boots,UFC Ring,4
1095,50,180.4,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1095,No,Male,Hat,Wrestling Trunks,Chair,White Boots,Ring,4
2807,51,180.05,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2807,No,Male,Hat,Torn Clothes,Boxing Gloves,Socks,UFC Ring,4
4679,52,177.08,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4679,No,Female,Undercut,Champion Belt,Weights,Bandages,UFC Ring,4
4972,53,175.33,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4972,No,Female,Double Buns,Champion Belt,White Gloves,None,Alley,3
1980,54,175.05,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1980,No,Male,Hat,Tank Top,Chair,Black Boots,Gym,4
86,55,174.47,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/86,No,Male,Long Hair,Champion Belt,Tattoo,Socks,Alley,4
343,56,173.93,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/343,No,Male,Hat,Torn Clothes,Boxing Gloves,Black Boots,Alley,4
2532,57,173.08,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2532,No,Male,Hat,Torn Clothes,Boxing Gloves,None,Gym,3
3422,58,172.05,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3422,No,Female,Double Buns,Fishnets,Wrestler,Long Socks,UFC Ring,4
706,59,169.8,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/706,No,Male,Bandana,Champion Belt,None,None,UFC Ring,2
1405,60,169.78,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1405,No,Male,Bandana,Champion Belt,Boxing Gloves,White Boots,Ring,4
1676,61,169.35,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1676,No,Male,Bandana,Champion Belt,None,White Boots,UFC Ring,3
867,62,168.1,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/867,No,Male,Bandana,Champion Belt,Boxing Gloves,None,Alley,3
96,63,166.2,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/96,No,Male,Short Hair,Champion Belt,Tattoo,Socks,Beach,4
6026,64,165.79,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6026,No,Female,None,Wrestling Uniform,Wrestler,Bandages,Dojo,3
2071,65,164.64,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2071,No,Male,None,Champion Belt,Tattoo,White Boots,Alley,3
3024,66,164.18,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3024,No,Male,Short Hair,Torn Clothes,Wrestler,Socks,Gym,4
2005,67,162.77,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2005,No,Male,Cap,Champion Belt,Weights,Black Boots,Beach,4
557,68,161.95,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/557,No,Male,Long Hair,Wrestling Trunks,Wrestler,Bandages,Ring,4
5930,69,160.8,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5930,No,Female,Headband,Champion Belt,Weights,Pink Long Boots,Gym,4
6248,70,160.15,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6248,No,Female,Pigfalls,Champion Belt,White Gloves,Long Boots,Alley,4
2520,71,159.69,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2520,No,Male,Short Hair,Champion Belt,Tattoo,White Boots,Ring,4
3246,72,159.62,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3246,No,Male,Cap,Champion Belt,Boxing Gloves,Black Boots,Gym,4
796,73,158.68,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/796,No,Male,Mohawk,Wrestling Uniform,Wrestler,Black Boots,Alley,4
2426,74,157.83,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2426,No,Male,Mohawk,Wrestling Uniform,Wrestler,None,Gym,3
3719,75,157.23,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3719,No,Female,Double Buns,Black Pants,Wrestler,Long Boots,Gym,4
3396,76,156.52,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3396,No,Female,Undercut,Wrestling Gear,Wrestler,Long Socks,UFC Ring,4
6397,77,156.04,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6397,No,Female,Undercut,Champion Belt,Bat,Black Boots,Gym,4
6005,78,155.29,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6005,No,Female,None,Wrestling Gear,Wrestler,None,Beach,2
5344,79,155.27,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5344,No,Female,Headband,Champion Belt,Weights,Shoes,Alley,4
272,80,155.23,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/272,No,Male,Hat,Wrestling Uniform,Tattoo,Shoes,Gym,4
1955,81,155.17,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1955,No,Male,Bandana,Torn Clothes,Chair,Socks,UFC Ring,4
5200,82,155.16,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5200,No,Female,Headband,Champion Belt,White Gloves,Shoes,Gym,4
5189,83,154.59,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5189,No,Female,Undercut,Champion Belt,Bat,None,Ring,3
4243,84,154.07,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4243,No,Female,Short Hair,Champion Belt,Bandages,Long Boots,Alley,4
4244,85,153.87,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4244,No,Female,Ponytail,Champion Belt,Weights,Shoes,Alley,4
3570,86,153.37,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3570,No,Female,Short Hair,Champion Belt,White Gloves,Pink Long Boots,Ring,4
4366,87,152.42,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4366,No,Female,Ponytail,Champion Belt,Wrestling Gloves,Shoes,Ring,4
415,88,151.8,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/415,No,Male,None,Champion Belt,None,Socks,Beach,2
1840,89,151.7,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1840,No,Male,Short Hair,Tank Top,Wrestler,Bandages,Gym,4
254,90,151.61,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/254,No,Male,Hat,Wrestling Uniform,Tattoo,Socks,Gym,4
1415,91,150.73,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1415,No,Male,Hat,Tank Top,Tattoo,White Boots,Ring,4
78,92,150.1,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/78,No,Male,Long Hair,Champion Belt,Boxing Gloves,None,Gym,3
2558,93,149.89,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2558,No,Male,None,Champion Belt,Bandages,None,Ring,2
2562,94,149.72,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2562,No,Male,Hat,Muay Thai,Bandages,Black Boots,Beach,4
6452,95,149.39,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6452,No,Female,Ponytail,Champion Belt,None,Long Boots,Alley,3
6056,96,148.82,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6056,No,Female,Headband,Champion Belt,Bandages,Black Boots,Ring,4
2112,97,148.55,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2112,No,Male,Short Hair,Champion Belt,Weights,Shoes,Alley,4
263,98,148.22,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/263,No,Male,Short Hair,Wrestling Uniform,Wrestler,Bandages,Ring,4
464,99,147.92,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/464,No,Male,Bandana,Wrestling Trunks,Wrestler,Socks,Ring,4
4911,100,147.82,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4911,No,Female,None,Champion Belt,White Gloves,Long Socks,Ring,3
4194,101,147.76,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4194,No,Female,Headband,Wrestling Gear,Wrestler,Black Boots,Ring,4
5074,102,147.66,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5074,No,Female,Headband,Champion Belt,White Gloves,None,Alley,3
6610,103,147.3,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6610,No,Female,Undercut,Champion Belt,None,Shoes,Alley,3
1288,104,146.84,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1288,No,Male,Bandana,Tank Top,Wrestler,Black Boots,Beach,4
60,105,146.83,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/60,No,Male,None,Torn Clothes,None,None,UFC Ring,1
3076,106,146.62,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3076,No,Male,Undercut,Champion Belt,Weights,Socks,UFC Ring,4
5138,107,146.48,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5138,No,Female,Undercut,Champion Belt,White Gloves,Long Boots,Ring,4
5672,108,146.44,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5672,No,Female,Undercut,Wrestling Gear,Wrestler,Black Boots,UFC Ring,4
2500,109,146.04,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2500,No,Male,Hat,Muay Thai,Weights,White Boots,Alley,4
3161,110,146.01,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3161,No,Male,Hat,Muay Thai,Weights,White Boots,UFC Ring,4
898,111,145.72,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/898,No,Male,None,Champion Belt,Boxing Gloves,White Boots,Gym,3
1074,112,145.46,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1074,No,Male,Hat,Wrestling Uniform,Tattoo,Black Boots,Gym,4
382,113,145.23,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/382,No,Male,Cap,Torn Clothes,Chair,White Boots,Ring,4
4219,114,145.03,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4219,No,Female,Undercut,Champion Belt,Weights,Long Boots,Ring,4
1665,115,144.31,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1665,No,Male,Hat,Tank Top,Boxing Gloves,None,Dojo,3
5125,116,144.31,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/5125,No,Female,None,Champion Belt,White Gloves,None,Ring,2
1341,117,143.94,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1341,No,Male,Mohawk,Torn Clothes,Bandages,White Boots,Dojo,4
922,118,143.88,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/922,No,Male,Long Hair,Muay Thai,Wrestler,White Boots,Alley,4
6342,119,143.81,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6342,No,Female,Pigfalls,Fishnets,Wrestler,Long Boots,Ring,4
1276,120,143.14,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1276,No,Male,None,Torn Clothes,None,None,Ring,1
1693,121,143.14,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1693,No,Male,None,Torn Clothes,None,None,Ring,1
1962,122,143.13,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1962,No,Male,Hat,Muay Thai,None,Socks,Alley,3
2474,123,142.85,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/2474,No,Male,Hat,Wrestling Trunks,Bandages,Socks,Gym,4
3108,124,142.69,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/3108,No,Male,Short Hair,Champion Belt,Boxing Gloves,Black Boots,Beach,4
1510,125,142.54,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1510,No,Male,Undercut,Champion Belt,None,None,Gym,2
1358,126,142.43,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1358,No,Male,Cap,Tank Top,Wrestler,White Boots,Gym,4
6041,127,142.24,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6041,No,Female,Short Hair,Champion Belt,Weights,None,Beach,3
1228,128,142.1,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1228,No,Male,Short Hair,Champion Belt,Bandages,Black Boots,Ring,4
1040,129,142.08,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1040,No,Male,Undercut,Champion Belt,None,White Boots,Gym,3
634,130,141.94,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/634,No,Male,Short Hair,Champion Belt,None,Socks,UFC Ring,3
6427,131,141.92,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6427,No,Female,Undercut,Champion Belt,White Gloves,Black Boots,UFC Ring,4
1434,132,141.77,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1434,No,Male,Bandana,Wrestling Trunks,Wrestler,Black Boots,Ring,4
4526,133,141.47,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/4526,No,Female,None,Champion Belt,White Gloves,Black Boots,Alley,3
1795,134,141.23,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1795,No,Male,Hat,Wrestling Trunks,Boxing Gloves,White Boots,Beach,4
6347,135,141.1,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/6347,No,Female,Ponytail,Champion Belt,Weights,None,Ring,3
257,136,140.83,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/257,No,Male,Short Hair,Champion Belt,None,None,Gym,2
394,137,140.08,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/394,No,Male,Hat,Wrestling Uniform,Bandages,White Boots,Gym,4
24,138,139.53,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/24,No,Male,Hat,Muay Thai,Boxing Gloves,Black Boots,Gym,4
1698,139,138.67,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1698,No,Male,Short Hair,Champion Belt,None,None,Ring,2
1056,140,138.57,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/1056,No,Male,Short Hair,Champion Belt,None,Black Boots,Beach,3
615,141,138.53,QmSqwxNFMeFtgdCnjBTTixx46Wi6TH9FtQ5jAp98JnAoeR/615,No,Male,Hat,Wrestling Trunks,Boxing Gloves,Socks,Alley,4
