id,nft_rank,rarity score,img_url,is_one_of_one,base_color,spots,tire_color,window_color,tip_color,lights_color,door_color,wheel_color,background,trait_count
8924,32,191.66,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8924,No,Green,Banana Spot,None,Black,Orange,Blue,Pink,Pink,Sunset,6
550,33,189.65,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/550,No,Yellow,Monkey Spot,Orange,Blue,Blue,Yellow,Green,Black,Sakura,7
4779,34,188.62,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4779,No,Yellow,Monkey Spot,Red,Blue,Red,Blue,Pink,None,Sunset,6
463,35,188.02,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/463,No,Yellow,Magic Spot,Orange,Pink,Blue,Yellow,Black,Red,Fall,7
7213,36,187.69,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7213,No,Green,Single Spot,White,None,Pink,Blue,Pink,Red,Sakura,6
7651,37,186.09,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7651,No,Rotten,Monkey Spot,White,Purple,None,Pink,Green,Red,Jungle,6
1029,38,184.81,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1029,No,Yellow,Small Spots,Green,Blue,Cyan,Pink,Pink,Yellow,Jungle,7
154,39,183.72,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/154,No,Yellow,Monkey Spot,Red,None,Blue,Red,Cyan,Red,Sakura,6
4157,40,183.07,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4157,No,Yellow,Monkey Spot,Cyan,None,Green,None,None,Pink,Night,4
3822,41,180.84,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3822,No,Yellow,Monkey Spot,Cyan,Pink,Cyan,None,None,Blue,Jungle,5
1689,42,180.8,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1689,No,Yellow,Magic Spot,Blue,Blue,None,Pink,Purple,None,Fall,5
8653,43,179.76,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8653,No,Yellow,Magic Spot,Blue,None,Red,Red,Black,Pink,Sunset,6
4965,44,179.71,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4965,No,Yellow,Magic Spot,Green,Blue,Cyan,Orange,Red,Yellow,Jungle,7
2928,45,179.23,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2928,No,Yellow,Monkey Spot,Pink,Blue,Blue,Yellow,Blue,Red,Jungle,7
8105,46,178.56,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8105,No,Green,Magic Spot,None,Black,Pink,Yellow,Cyan,None,Jungle,5
3200,47,178.09,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3200,No,Yellow,Small Spots,White,Red,Cyan,Pink,Pink,Black,Jungle,7
5037,48,177.65,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5037,No,Yellow,Monkey Spot,Green,Pink,Green,Yellow,Green,Blue,Fall,7
6794,49,175.78,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6794,No,Yellow,Banana Spot,Pink,Blue,Red,Pink,None,None,Night,5
8870,50,175.23,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8870,No,Green,Magic Spot,None,None,Pink,Yellow,Cyan,Black,Jungle,5
1687,51,174.95,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1687,No,Yellow,Monkey Spot,None,Black,Green,Blue,Green,Pink,Jungle,6
9300,52,173.94,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/9300,No,Yellow,Small Spots,Green,Blue,Blue,Pink,Cyan,Pink,Sunset,7
1994,53,173.17,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1994,No,Yellow,Monkey Spot,White,None,Orange,Orange,Pink,Black,Jungle,6
8292,54,173.06,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8292,No,Rotten,Monkey Spot,Pink,Blue,Green,Yellow,None,Black,Sunset,6
7399,55,172.07,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7399,No,Yellow,Monkey Spot,White,Red,Blue,Blue,Cyan,Cyan,Jungle,7
6617,56,172.05,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6617,No,Green,Small Spots,Green,Blue,Red,Green,Pink,Red,Sakura,7
4484,57,171.97,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4484,No,Yellow,Monkey Spot,None,Pink,Red,None,Purple,Green,Night,5
7127,58,171.46,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7127,No,Rotten,Small Spots,Pink,Purple,Orange,Red,None,Pink,Fall,6
1987,59,170.78,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1987,No,Yellow,Monkey Spot,Orange,Blue,Orange,Cyan,Blue,Yellow,Night,7
6542,60,170.63,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6542,No,Yellow,Magic Spot,None,None,None,Red,None,None,Sunset,2
2100,61,170.31,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2100,No,Yellow,Monkey Spot,None,Pink,Red,Yellow,Cyan,Green,Sunset,6
4499,62,170.05,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4499,No,Green,Magic Spot,Orange,Black,Purple,Blue,Blue,Green,Sunset,7
4014,63,169.55,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4014,No,Yellow,Magic Spot,None,None,Green,Orange,Pink,Red,Jungle,5
2286,64,168.24,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2286,No,Yellow,Magic Spot,Green,Green,Purple,Red,Cyan,Cyan,Jungle,7
3422,65,167.53,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3422,No,Yellow,Magic Spot,None,Blue,None,Orange,Pink,Blue,Jungle,5
8927,66,167.27,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8927,No,Rotten,Monkey Spot,None,None,Green,Yellow,Pink,Black,Jungle,5
4169,67,166.71,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4169,No,Yellow,Monkey Spot,None,None,Orange,Pink,Black,Red,Jungle,5
6865,68,166.62,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6865,No,Yellow,Three Spots,Blue,Red,Blue,Pink,Green,Black,Sakura,7
2055,69,166.57,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2055,No,Yellow,Small Spots,Green,Red,Pink,Pink,Black,None,Fall,6
8188,70,165.65,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8188,No,Yellow,Magic Spot,None,Black,None,Pink,None,Red,Night,4
1593,71,165.25,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1593,No,Rotten,Magic Spot,None,Blue,Cyan,Green,Red,Red,Night,6
8199,72,165.04,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8199,No,Yellow,Magic Spot,None,Pink,Orange,None,Black,Black,Night,5
8329,73,165.04,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8329,No,Yellow,Banana Spot,White,Red,Red,Orange,Pink,Yellow,Jungle,7
5520,74,164.96,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5520,No,Yellow,Monkey Spot,Cyan,None,Orange,Green,Purple,Cyan,Fall,6
2651,75,164.83,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2651,No,Yellow,Magic Spot,Cyan,Green,Red,Cyan,Black,Yellow,Fall,7
1036,76,164.37,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1036,No,Yellow,Three Spots,Green,Blue,Green,Yellow,Pink,Yellow,Sakura,7
161,77,163.35,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/161,No,Yellow,Magic Spot,Cyan,Black,Red,Cyan,Blue,Black,Snow,7
8727,78,162.71,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8727,No,Yellow,Single Spot,Red,Pink,Pink,Green,Black,Blue,Snow,7
7735,79,162.55,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7735,No,Yellow,Two Spots,Cyan,Blue,Red,Yellow,Pink,Pink,Night,7
1705,80,161.18,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1705,No,Yellow,Magic Spot,Red,Green,Red,Yellow,Green,Blue,Snow,7
201,81,160.74,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/201,No,Green,Two Spots,None,Red,Pink,Pink,Green,Black,Night,6
4542,82,160.02,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4542,No,Yellow,Magic Spot,Cyan,Green,Green,Green,None,Blue,Snow,6
2322,83,158.53,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2322,No,Yellow,Monkey Spot,None,Pink,None,None,Blue,Blue,Fall,4
8000,84,158.43,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8000,No,Yellow,Big Spot,Cyan,Purple,Cyan,Green,Pink,Yellow,Jungle,7
3136,85,158.24,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3136,No,Green,Small Spots,Orange,Black,None,Pink,Black,Blue,Sakura,6
8685,86,158.22,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8685,No,Yellow,Two Spots,Pink,Green,Green,Pink,Black,Cyan,Jungle,7
6367,87,158.18,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6367,No,Yellow,Monkey Spot,None,Black,Green,None,None,Blue,Sakura,4
930,88,158.12,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/930,No,Yellow,Monkey Spot,Red,Red,Purple,Yellow,Black,Blue,Sunset,7
8651,89,157.4,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8651,No,Yellow,Magic Spot,Blue,Red,Red,Green,Green,Blue,Jungle,7
2175,90,157.37,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2175,No,Green,Monkey Spot,White,Black,Green,Cyan,Black,Yellow,Fall,7
3383,91,157.01,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3383,No,Yellow,Monkey Spot,None,Blue,Green,Cyan,Red,Black,Snow,6
6851,92,156.99,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6851,No,Yellow,Magic Spot,Green,Red,Blue,None,Cyan,None,Fall,5
4020,93,156.98,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4020,No,Green,Magic Spot,None,None,Cyan,Yellow,None,Red,Snow,4
4981,94,156.94,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4981,No,Green,Single Spot,Red,None,Green,Pink,Pink,Green,Fall,6
7493,95,156.91,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7493,No,Green,Three Spots,Blue,None,Orange,Red,Black,Pink,Sakura,6
8415,96,156.47,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8415,No,Green,Banana Spot,None,Blue,Cyan,Pink,Cyan,Blue,Night,6
1048,97,156.2,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1048,No,Rotten,Single Spot,Orange,Pink,Pink,Orange,Black,Blue,Sunset,7
1816,98,156.11,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1816,No,Rotten,Monkey Spot,White,Black,Purple,Blue,Purple,Red,Night,7
9121,99,155.87,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/9121,No,Yellow,Two Spots,None,Purple,None,Cyan,Pink,Cyan,Sakura,5
7815,100,154.14,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7815,No,Rotten,Monkey Spot,Orange,None,Blue,Cyan,Green,Black,Night,6
5387,101,154.13,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5387,No,Yellow,Monkey Spot,Green,Red,None,Blue,Cyan,Blue,Night,6
5742,102,153.97,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5742,No,Yellow,Two Spots,Pink,None,Green,Pink,Purple,Yellow,Jungle,6
8045,103,153.62,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8045,No,Rotten,Magic Spot,None,None,Orange,Red,Cyan,Cyan,Fall,5
4368,104,153.42,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4368,No,Green,Monkey Spot,Red,Blue,Red,Orange,Green,Black,Jungle,7
8391,105,153.24,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8391,No,Green,Three Spots,White,Pink,Orange,Blue,None,Pink,Jungle,6
1201,106,153.23,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1201,No,Yellow,Small Spots,Red,Black,None,Pink,Pink,Red,Sunset,6
883,107,153.21,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/883,No,Yellow,Magic Spot,Red,Purple,Red,Red,None,Green,Night,6
578,108,153.14,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/578,No,Yellow,Big Spot,Pink,None,Cyan,Pink,Green,Black,Jungle,6
6585,109,152.94,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/6585,No,Rotten,Monkey Spot,Green,Blue,Red,Orange,Purple,Red,Jungle,7
2665,110,152.94,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2665,No,Yellow,Magic Spot,Orange,None,Purple,Orange,Purple,None,Jungle,5
3881,111,152.88,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3881,No,Rotten,Magic Spot,White,Blue,Blue,Blue,Green,Red,Sunset,7
4439,112,152.82,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4439,No,Yellow,Monkey Spot,Green,Black,Green,Yellow,Purple,Yellow,Jungle,7
2785,113,152.7,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2785,No,Green,Banana Spot,None,None,Green,Pink,Blue,None,Snow,4
8206,114,152.2,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8206,No,Yellow,Magic Spot,Cyan,Green,Green,Yellow,Green,Red,Night,7
5484,115,151.98,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5484,No,Yellow,Monkey Spot,None,Blue,Blue,Cyan,Cyan,Cyan,Fall,6
5288,116,151.96,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5288,No,Green,Magic Spot,None,None,Cyan,Orange,Purple,Blue,Fall,5
10,117,151.68,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/10,No,Yellow,Magic Spot,Orange,Black,None,Green,Purple,Green,Fall,6
7787,118,151.47,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7787,No,Yellow,Big Spot,None,Pink,Cyan,Blue,Pink,Black,Fall,6
1107,119,151.3,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1107,No,Yellow,Monkey Spot,Blue,Purple,Red,Yellow,Cyan,Red,Jungle,7
5987,120,151.24,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5987,No,Yellow,Two Spots,Pink,None,None,Yellow,Red,Cyan,Sakura,5
4510,121,151.12,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4510,No,Yellow,Monkey Spot,White,Black,Orange,Yellow,Green,Blue,Snow,7
878,122,150.84,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/878,No,Green,Monkey Spot,Red,None,Cyan,None,Blue,Red,Jungle,5
4049,123,150.8,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/4049,No,Yellow,Monkey Spot,Blue,Blue,Cyan,Red,Black,Blue,Fall,7
9230,124,150.58,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/9230,No,Rotten,Banana Spot,Blue,Pink,Green,Yellow,Black,Blue,Snow,7
5829,125,150.54,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/5829,No,Yellow,Magic Spot,White,Purple,Cyan,Cyan,None,Blue,Jungle,6
3412,126,150.42,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3412,No,Yellow,Single Spot,White,None,Purple,Pink,Cyan,Pink,Fall,6
112,127,150.36,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/112,No,Green,Magic Spot,Cyan,None,Orange,Orange,None,Blue,Night,5
758,128,150.28,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/758,No,Rotten,Magic Spot,None,Red,Red,Yellow,Cyan,None,Fall,5
861,129,150.1,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/861,No,Yellow,Magic Spot,Green,Blue,Blue,None,Black,Yellow,Sunset,6
3993,130,150.07,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3993,No,Yellow,Magic Spot,Green,Purple,Blue,None,Green,Black,Sunset,6
8660,131,150.01,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/8660,No,Yellow,Magic Spot,Cyan,None,Red,Orange,None,Yellow,Fall,5
3025,132,149.89,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/3025,No,Yellow,Banana Spot,Blue,Blue,Purple,Blue,Green,Green,Sakura,7
2998,133,149.3,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2998,No,Yellow,Big Spot,Pink,Blue,None,Blue,Green,Pink,Jungle,6
814,134,149.27,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/814,No,Yellow,Two Spots,Pink,None,None,Pink,Cyan,Cyan,Jungle,5
1322,135,149.19,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1322,No,Green,Monkey Spot,Blue,Green,Blue,Orange,Green,None,Jungle,6
9127,136,149.11,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/9127,No,Yellow,Three Spots,Pink,None,Red,Yellow,Red,Red,Sakura,6
1211,137,148.88,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1211,No,Green,Magic Spot,None,None,Green,None,Red,Red,Night,4
7904,138,148.82,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7904,No,Yellow,Single Spot,Blue,None,Blue,Pink,Purple,Pink,Jungle,6
1192,139,148.79,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/1192,No,Green,None,Red,None,None,Cyan,Pink,Red,Sakura,4
941,140,148.45,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/941,No,Green,Two Spots,None,None,None,Cyan,Pink,Pink,Fall,4
2499,141,148.21,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/2499,No,Yellow,Magic Spot,Green,Green,Green,Green,Green,Blue,Jungle,7
7575,142,148.12,QmVjjJJ7XQKRbM5uBmDtTP9r22UZC1Wv55AT9p4yGecHpP/7575,No,Rotten,Magic Spot,Red,None,Blue,Yellow,Purple,Red,Fall,6
