image,id,nft_rank,rarity_score,img_url,is_one_of_one,color,face,head,clothes,hands,feet,background,trait_count,color,face,head,clothes,hands,feet,background,trait_count
,10,2840,64.62,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/10,No,Blue,Angry,Band-Aid,Diaper,Claws,Boxing Gloves,Grey,4,20.5,5.1,10.9,5.042864347,7.9,6.9,4.2,4.0
,11,4587,51.92,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/11,No,Blue,Fearless,Warpaint,None,Boots,None,Grey,2,20.5,3.1,7.7,4.27167877,5.3,3.1,4.2,3.8
,12,5763,47.91,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/12,No,Green,Angry,Mohawk,Jeans,Boots,Claws,Grey,4,6.4,5.1,7.1,4.894762604,5.3,11.0,4.2,4.0
,13,4142,54.00,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/13,No,Red,Bored,Red Mask,Red Shorts,Bandages,Black Gloves,Yellow,4,4.7,6.6,9.7,6.430868167,7.4,6.9,8.2,4.0
,14,6178,46.74,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/14,No,Brown,Bored,Blue Mask,Red Shorts,Boots,Black Gloves,Grey,4,3.8,6.6,9.5,6.430868167,5.3,6.9,4.2,4.0
,15,3975,54.93,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/15,No,Red,Amazed,Mohawk,Red Shorts,Sneakers,Boxing Gloves,Green,4,4.7,7.8,7.1,6.430868167,13.1,6.9,5.0,4.0
,16,1962,80.39,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/16,No,Green,Amazed,Mohawk,Wrestling Trunks,Anklet,Claws,Red,4,6.4,7.8,7.1,11.80637544,28.1,11.0,4.3,4.0
,17,8840,39.65,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/17,No,Brown,Fearless,None,Jeans,Socks,Black Gloves,Yellow,3,3.8,3.1,2.8,4.894762604,7.5,6.9,8.2,2.4
,18,3555,57.64,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/18,No,Green,Fearless,Blue Mask,None,Socks,Big Hands,Yellow,3,6.4,3.1,9.5,4.27167877,7.5,16.3,8.2,2.4
,19,3981,54.89,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/19,No,Green,Laughing,None,None,None,Claws,Grey,1,6.4,6.0,2.8,4.27167877,4.0,11.0,4.2,16.2
,20,2442,70.20,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/20,No,Brown,Bored,None,Diaper,None,Black Gloves,Pink,2,3.8,6.6,2.8,5.042864347,4.0,6.9,37.2,3.8
,21,5179,49.57,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/21,No,Brown,Fearless,Red Mask,Wrestling Trunks,Socks,None,Yellow,3,3.8,3.1,9.7,11.80637544,7.5,3.1,8.2,2.4
,22,9375,37.79,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/22,No,Red,Fearless,None,Jeans,Claws,Bandages,Red,3,4.7,3.1,2.8,4.894762604,7.9,7.6,4.3,2.4
,23,9712,36.20,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/23,No,Brown,Angry,None,Jeans,Boots,Bandages,Red,3,3.8,5.1,2.8,4.894762604,5.3,7.6,4.3,2.4
,24,9143,38.68,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/24,No,Red,Fearless,Blue Mask,Red Shorts,Boots,None,Grey,3,4.7,3.1,9.5,6.430868167,5.3,3.1,4.2,2.4
,25,3888,55.48,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/25,No,Blue,Fearless,None,Jeans,Sneakers,None,Grey,2,20.5,3.1,2.8,4.894762604,13.1,3.1,4.2,3.8
,26,8099,41.76,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/26,No,Green,Fearless,Red Mask,Jeans,Claws,None,Red,3,6.4,3.1,9.7,4.894762604,7.9,3.1,4.3,2.4
,27,8116,41.72,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/27,No,Grey,Laughing,Mohawk,None,Claws,None,Blue,2,3.6,6.0,7.1,4.27167877,7.9,3.1,6.0,3.8
,28,6491,45.98,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/28,No,Red,Laughing,Warpaint,Red Shorts,Socks,None,Yellow,3,4.7,6.0,7.7,6.430868167,7.5,3.1,8.2,2.4
,29,9137,38.70,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/29,No,Brown,Fearless,Mohawk,Red Shorts,None,Black Gloves,Green,3,3.8,3.1,7.1,6.430868167,4.0,6.9,5.0,2.4
,30,2163,75.62,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/30,No,Brown,Laughing,Warpaint,None,Bandages,Black Gloves,Pink,3,3.8,6.0,7.7,4.27167877,7.4,6.9,37.2,2.4
,31,4533,52.16,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/31,No,Grey,Laughing,Warpaint,Jeans,Sneakers,Black Gloves,Blue,4,3.6,6.0,7.7,4.894762604,13.1,6.9,6.0,4.0
,32,3861,55.65,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/32,No,Red,Fearless,Coconut,Diaper,Claws,Claws,Grey,4,4.7,3.1,15.6,5.042864347,7.9,11.0,4.2,4.0
,33,745,128.72,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/33,No,Brown,Laughing,Coconut,Jeans,Rollers,None,Yellow,3,3.8,6.0,15.6,4.894762604,84.7,3.1,8.2,2.4
,34,2419,70.57,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/34,No,Grey,Fearless,Band-Aid,Diaper,Anklet,Bandages,Yellow,4,3.6,3.1,10.9,5.042864347,28.1,7.6,8.2,4.0
,35,3993,54.82,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/35,No,Brown,Amazed,Mohawk,Wrestling Trunks,Boots,Boxing Gloves,Yellow,4,3.8,7.8,7.1,11.80637544,5.3,6.9,8.2,4.0
,36,7613,43.08,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/36,No,Brown,Angry,Mohawk,Jeans,None,Bandages,Yellow,3,3.8,5.1,7.1,4.894762604,4.0,7.6,8.2,2.4
,37,6227,46.62,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/37,No,Red,Bored,None,Jeans,None,None,Grey,1,4.7,6.6,2.8,4.894762604,4.0,3.1,4.2,16.2
,38,8688,40.10,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/38,No,Brown,Amazed,None,Jeans,Claws,None,Blue,2,3.8,7.8,2.8,4.894762604,7.9,3.1,6.0,3.8
,39,3797,55.97,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/39,No,Red,Amazed,Warpaint,None,None,None,Yellow,1,4.7,7.8,7.7,4.27167877,4.0,3.1,8.2,16.2
,40,2725,66.23,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/40,No,Blue,Laughing,Warpaint,Diaper,None,Big Hands,Red,3,20.5,6.0,7.7,5.042864347,4.0,16.3,4.3,2.4
,41,4798,51.01,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/41,No,Green,Angry,Warpaint,Diaper,Socks,Claws,Red,4,6.4,5.1,7.7,5.042864347,7.5,11.0,4.3,4.0
,42,6526,45.89,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/42,No,Brown,Laughing,Mohawk,Diaper,Bandages,Bandages,Green,4,3.8,6.0,7.1,5.042864347,7.4,7.6,5.0,4.0
,43,4953,50.39,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/43,No,Grey,Fearless,Coconut,Red Shorts,Claws,None,Yellow,3,3.6,3.1,15.6,6.430868167,7.9,3.1,8.2,2.4
,44,2628,67.56,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/44,No,Grey,Laughing,Band-Aid,None,Bandages,Bracelets,Yellow,3,3.6,6.0,10.9,4.27167877,7.4,24.8,8.2,2.4
,45,6763,45.33,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/45,No,Grey,Fearless,Red Mask,None,Boots,Claws,Blue,3,3.6,3.1,9.7,4.27167877,5.3,11.0,6.0,2.4
,46,5856,47.62,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/46,No,Red,Fearless,Mohawk,Red Shorts,Boots,Claws,Blue,4,4.7,3.1,7.1,6.430868167,5.3,11.0,6.0,4.0
,47,9376,37.79,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/47,No,Brown,Bored,None,Diaper,Boots,Bandages,Grey,3,3.8,6.6,2.8,5.042864347,5.3,7.6,4.2,2.4
,48,8395,40.96,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/48,No,Red,Laughing,None,Diaper,Bandages,Bandages,Green,3,4.7,6.0,2.8,5.042864347,7.4,7.6,5.0,2.4
,49,4068,54.41,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/49,No,Red,Fearless,Band-Aid,Wrestling Trunks,Claws,Bandages,Red,4,4.7,3.1,10.9,11.80637544,7.9,7.6,4.3,4.0
,50,9560,37.06,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/50,No,Red,Fearless,Mohawk,Jeans,Socks,None,Red,3,4.7,3.1,7.1,4.894762604,7.5,3.1,4.3,2.4
,51,9470,37.43,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/51,No,Red,Fearless,None,None,Socks,Black Gloves,Red,2,4.7,3.1,2.8,4.27167877,7.5,6.9,4.3,3.8
,52,7541,43.27,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/52,No,Red,Fearless,Band-Aid,None,Boots,Bandages,Green,3,4.7,3.1,10.9,4.27167877,5.3,7.6,5.0,2.4
,53,2328,71.92,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/53,No,Red,Laughing,Mohawk,Robe,Socks,Bracelets,Grey,4,4.7,6.0,7.1,13.6425648,7.5,24.8,4.2,4.0
,54,1230,108.54,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/54,No,Green,Angry,Blue Mask,Robe,Claws,Bracelets,Pink,4,6.4,5.1,9.5,13.6425648,7.9,24.8,37.2,4.0
,55,7056,44.58,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/55,No,Grey,Angry,Blue Mask,Jeans,None,Boxing Gloves,Yellow,3,3.6,5.1,9.5,4.894762604,4.0,6.9,8.2,2.4
,56,9386,37.75,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/56,No,Brown,Amazed,None,Jeans,Bandages,None,Grey,2,3.8,7.8,2.8,4.894762604,7.4,3.1,4.2,3.8
,57,4954,50.39,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/57,No,Green,Amazed,Coconut,None,Boots,None,Grey,2,6.4,7.8,15.6,4.27167877,5.3,3.1,4.2,3.8
,58,7459,43.51,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/58,No,Brown,Amazed,None,Jeans,Sneakers,None,Red,2,3.8,7.8,2.8,4.894762604,13.1,3.1,4.3,3.8
,59,8848,39.63,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/59,No,Red,Bored,None,Red Shorts,None,Black Gloves,Red,2,4.7,6.6,2.8,6.430868167,4.0,6.9,4.3,3.8
,60,2521,69.04,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/60,No,Green,Fearless,Blue Mask,Diaper,Anklet,Black Gloves,Blue,4,6.4,3.1,9.5,5.042864347,28.1,6.9,6.0,4.0
,61,7803,42.56,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/61,No,Brown,Bored,None,None,Boots,Claws,Green,2,3.8,6.6,2.8,4.27167877,5.3,11.0,5.0,3.8
,62,6216,46.65,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/62,No,Grey,Amazed,Band-Aid,Diaper,None,Black Gloves,Blue,3,3.6,7.8,10.9,5.042864347,4.0,6.9,6.0,2.4
,63,7992,42.05,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/63,No,Grey,Amazed,None,Red Shorts,None,Bandages,Blue,2,3.6,7.8,2.8,6.430868167,4.0,7.6,6.0,3.8
,64,787,126.65,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/64,No,Red,Laughing,Red Mask,Red Shorts,Rollers,Boxing Gloves,Grey,4,4.7,6.0,9.7,6.430868167,84.7,6.9,4.2,4.0
,65,9880,34.76,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/65,No,Grey,Fearless,None,None,Boots,Black Gloves,Green,2,3.6,3.1,2.8,4.27167877,5.3,6.9,5.0,3.8
,66,8128,41.67,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/66,No,Grey,Bored,None,None,Boots,Claws,Red,2,3.6,6.6,2.8,4.27167877,5.3,11.0,4.3,3.8
,67,6882,45.02,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/67,No,Green,Bored,Warpaint,Jeans,Claws,None,Blue,3,6.4,6.6,7.7,4.894762604,7.9,3.1,6.0,2.4
,68,8425,40.87,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/68,No,Grey,Fearless,Mohawk,None,Socks,Black Gloves,Blue,3,3.6,3.1,7.1,4.27167877,7.5,6.9,6.0,2.4
,69,6314,46.41,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/69,No,Red,Laughing,Mohawk,Jeans,Claws,Bandages,Grey,4,4.7,6.0,7.1,4.894762604,7.9,7.6,4.2,4.0
,70,9224,38.37,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/70,No,Grey,Fearless,Band-Aid,Jeans,None,None,Green,2,3.6,3.1,10.9,4.894762604,4.0,3.1,5.0,3.8
,71,1548,94.87,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/71,No,Pink,Bored,Band-Aid,None,None,None,Blue,1,43.7,6.6,10.9,4.27167877,4.0,3.1,6.0,16.2
,72,2582,68.23,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/72,No,Brown,Fearless,Warpaint,Red Shorts,Anklet,Boxing Gloves,Yellow,4,3.8,3.1,7.7,6.430868167,28.1,6.9,8.2,4.0
,73,8100,41.76,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/73,No,Grey,Fearless,None,None,Sneakers,Black Gloves,Grey,2,3.6,3.1,2.8,4.27167877,13.1,6.9,4.2,3.8
,74,1089,115.43,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/74,No,Yellow,Fearless,None,Diaper,Socks,Boxing Gloves,Green,3,82.6,3.1,2.8,5.042864347,7.5,6.9,5.0,2.4
,75,5747,47.95,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/75,No,Grey,Angry,None,Robe,Boots,Black Gloves,Yellow,3,3.6,5.1,2.8,13.6425648,5.3,6.9,8.2,2.4
,76,8047,41.90,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/76,No,Grey,Angry,None,Wrestling Trunks,Bandages,None,Red,2,3.6,5.1,2.8,11.80637544,7.4,3.1,4.3,3.8
,77,3781,56.07,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/77,No,Grey,Laughing,None,Diaper,None,Bracelets,Blue,2,3.6,6.0,2.8,5.042864347,4.0,24.8,6.0,3.8
,78,529,143.22,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/78,No,Grey,Amazed,Red Mask,None,Claws,Nunchakus,Pink,3,3.6,7.8,9.7,4.27167877,7.9,70.4,37.2,2.4
,79,1909,81.42,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/79,No,Blue,Laughing,Band-Aid,Red Shorts,Sneakers,Big Hands,Grey,4,20.5,6.0,10.9,6.430868167,13.1,16.3,4.2,4.0
,80,9432,37.57,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/80,No,Brown,Fearless,None,Diaper,Boots,Black Gloves,Yellow,3,3.8,3.1,2.8,5.042864347,5.3,6.9,8.2,2.4
,81,3380,58.93,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/81,No,Brown,Fearless,Coconut,Robe,Sneakers,None,Grey,3,3.8,3.1,15.6,13.6425648,13.1,3.1,4.2,2.4
,82,7340,43.82,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/82,No,Green,Fearless,Mohawk,Diaper,Boots,Black Gloves,Blue,4,6.4,3.1,7.1,5.042864347,5.3,6.9,6.0,4.0
,83,9079,38.89,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/83,No,Green,Fearless,None,None,Bandages,Black Gloves,Grey,2,6.4,3.1,2.8,4.27167877,7.4,6.9,4.2,3.8
,84,3821,55.84,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/84,No,Brown,Bored,Coconut,Red Shorts,Socks,Bandages,Grey,4,3.8,6.6,15.6,6.430868167,7.5,7.6,4.2,4.0
,85,6768,45.31,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/85,No,Brown,Bored,Blue Mask,Jeans,Boots,Black Gloves,Red,4,3.8,6.6,9.5,4.894762604,5.3,6.9,4.3,4.0
,86,7800,42.57,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/86,No,Red,Fearless,Band-Aid,None,Boots,Black Gloves,Green,3,4.7,3.1,10.9,4.27167877,5.3,6.9,5.0,2.4
,87,1926,81.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/87,No,Green,Laughing,Warpaint,Kimono,Sneakers,Claws,Green,4,6.4,6.0,7.7,28.08988764,13.1,11.0,5.0,4.0
,88,7668,42.91,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/88,No,Green,Fearless,Blue Mask,Red Shorts,None,Black Gloves,Grey,3,6.4,3.1,9.5,6.430868167,4.0,6.9,4.2,2.4
,89,5231,49.39,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/89,No,Grey,Fearless,Warpaint,None,Sneakers,Claws,Red,3,3.6,3.1,7.7,4.27167877,13.1,11.0,4.3,2.4
,90,7980,42.08,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/90,No,Green,Angry,None,Diaper,Bandages,Boxing Gloves,Blue,3,6.4,5.1,2.8,5.042864347,7.4,6.9,6.0,2.4
,91,6686,45.52,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/91,No,Grey,Fearless,Coconut,None,None,Boxing Gloves,Grey,2,3.6,3.1,15.6,4.27167877,4.0,6.9,4.2,3.8
,92,6107,46.92,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/92,No,Grey,Laughing,Red Mask,Diaper,Bandages,Black Gloves,Red,4,3.6,6.0,9.7,5.042864347,7.4,6.9,4.3,4.0
,93,8924,39.40,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/93,No,Red,Angry,None,Diaper,Bandages,Bandages,Red,3,4.7,5.1,2.8,5.042864347,7.4,7.6,4.3,2.4
,94,8780,39.79,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/94,No,Grey,Bored,Mohawk,Jeans,Claws,None,Grey,3,3.6,6.6,7.1,4.894762604,7.9,3.1,4.2,2.4
,95,5322,49.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/95,No,Grey,Amazed,Mohawk,Wrestling Trunks,Boots,None,Yellow,3,3.6,7.8,7.1,11.80637544,5.3,3.1,8.2,2.4
,96,3139,61.21,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/96,No,Red,Fearless,Red Mask,None,Claws,Bracelets,Red,3,4.7,3.1,9.7,4.27167877,7.9,24.8,4.3,2.4
,97,6597,45.72,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/97,No,Brown,Fearless,Coconut,None,None,Boxing Gloves,Grey,2,3.8,3.1,15.6,4.27167877,4.0,6.9,4.2,3.8
,98,7122,44.38,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/98,No,Brown,Fearless,None,Wrestling Trunks,Socks,Black Gloves,Blue,3,3.8,3.1,2.8,11.80637544,7.5,6.9,6.0,2.4
,99,7011,44.72,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/99,No,Brown,Laughing,Warpaint,Diaper,Boots,Black Gloves,Blue,4,3.8,6.0,7.7,5.042864347,5.3,6.9,6.0,4.0
,100,3506,58.02,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/100,No,Grey,Fearless,Coconut,Wrestling Trunks,Claws,Bandages,Red,4,3.6,3.1,15.6,11.80637544,7.9,7.6,4.3,4.0
,101,1419,101.43,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/101,No,Pink,Angry,None,Kimono,Bandages,Bandages,Red,3,43.7,5.1,2.8,28.08988764,7.4,7.6,4.3,2.4
,102,1132,113.54,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/102,No,Pink,Bored,Mohawk,None,None,Boxing Gloves,Pink,2,43.7,6.6,7.1,4.27167877,4.0,6.9,37.2,3.8
,103,4531,52.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/103,No,Grey,Fearless,None,Diaper,None,Bracelets,Green,2,3.6,3.1,2.8,5.042864347,4.0,24.8,5.0,3.8
,104,2792,65.26,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/104,No,Green,Laughing,Mohawk,None,Anklet,Boxing Gloves,Grey,3,6.4,6.0,7.1,4.27167877,28.1,6.9,4.2,2.4
,105,8228,41.40,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/105,No,Red,Fearless,None,None,Socks,Claws,Grey,2,4.7,3.1,2.8,4.27167877,7.5,11.0,4.2,3.8
,106,2113,76.70,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/106,No,Brown,Fearless,Coconut,Diaper,Anklet,Claws,Blue,4,3.8,3.1,15.6,5.042864347,28.1,11.0,6.0,4.0
,107,6035,47.11,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/107,No,Brown,Angry,Mohawk,Robe,None,Boxing Gloves,Grey,3,3.8,5.1,7.1,13.6425648,4.0,6.9,4.2,2.4
,108,9001,39.15,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/108,No,Grey,Amazed,Warpaint,Diaper,None,None,Grey,2,3.6,7.8,7.7,5.042864347,4.0,3.1,4.2,3.8
,109,6054,47.06,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/109,No,Brown,Angry,Warpaint,Jeans,Claws,Bandages,Blue,4,3.8,5.1,7.7,4.894762604,7.9,7.6,6.0,4.0
